Source File,Pass,Score
ext1.cpp,,0.4285714285714286
ext1.cpp,Simplify the CFG on function (_Z9somethingv),0.4285714285714286
ext1.cpp,SROA on function (_Z9somethingv),0.4285714285714286
ext1.cpp,Early CSE on function (_Z9somethingv),0.4285714285714286
ext1.cpp,Simplify the CFG on function (_ZL4fn_aj),0.4285714285714286
ext1.cpp,SROA on function (_ZL4fn_aj),0.4285714285714286
ext1.cpp,Early CSE on function (_ZL4fn_aj),0.4285714285714286
ext1.cpp,Infer set function attributes on module (/home/och/dev/dexter-fork/lto/mash/ext1.cpp),0.4285714285714286
ext1.cpp,Interprocedural Sparse Conditional Constant Propagation on module (/home/och/dev/dexter-fork/lto/mash/ext1.cpp),0.4285714285714286
ext1.cpp,Called Value Propagation on module (/home/och/dev/dexter-fork/lto/mash/ext1.cpp),0.4285714285714286
ext1.cpp,Global Variable Optimizer on module (/home/och/dev/dexter-fork/lto/mash/ext1.cpp),0.4285714285714286
ext1.cpp,Promote Memory to Register on function (_Z9somethingv),0.4285714285714286
ext1.cpp,Promote Memory to Register on function (_ZL4fn_aj),0.4285714285714286
ext1.cpp,Dead Argument Elimination on module (/home/och/dev/dexter-fork/lto/mash/ext1.cpp),0.4285714285714286
ext1.cpp,Combine redundant instructions on function (_Z9somethingv),0.4285714285714286
ext1.cpp,Simplify the CFG on function (_Z9somethingv),0.4285714285714286
ext1.cpp,Combine redundant instructions on function (_ZL4fn_aj),0.4285714285714286
ext1.cpp,Simplify the CFG on function (_ZL4fn_aj),0.4285714285714286
ext1.cpp,Remove unused exception handling info on SCC (_ZL4fn_aj),0.4285714285714286
ext1.cpp,Function Integration/Inlining on SCC (_ZL4fn_aj),0.4285714285714286
ext1.cpp,Deduce function attributes on SCC (_ZL4fn_aj),0.4285714285714286
ext1.cpp,SROA on function (_ZL4fn_aj),0.4285714285714286
ext1.cpp,Early CSE w/ MemorySSA on function (_ZL4fn_aj),0.4285714285714286
ext1.cpp,Speculatively execute instructions if target has divergent branches on function (_ZL4fn_aj),0.4285714285714286
ext1.cpp,Jump Threading on function (_ZL4fn_aj),0.4285714285714286
ext1.cpp,Value Propagation on function (_ZL4fn_aj),0.4285714285714286
